Calculation started with 1 processes.
R_esc = 452.228
R_LC = 1591.55
Emission mode = O
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
-14 0.0071547 -0.000462603 1.63536
